hashtag,music_track,views,likes,comments,shares,engagement_rate,upload_time,cluster
#food,About you,26500,12400,3,9548,0.8283396226415094,2025-06-20 18:00:24,2
#fashionfriends,Tor Monitor Ketua,139700,40700,158,4827,0.32702219040801717,2025-11-19 07:02:15,2
#hp,originalljud,676800,188100,182,14600,0.299766548463357,2025-11-18 01:09:04,2
#ootd,sticky fingers,12700,3727,32,18,0.2974015748031496,2025-11-24 09:49:50,2
#fyp,nissan altima,99300,28200,166,437,0.2900604229607251,2025-11-22 04:53:48,2
#teknologi,seasons in the sun - 2023 remaster,13100,3272,4,85,0.2565648854961832,2025-11-21 14:18:40,2
#fyp,Stecu Stecu,3200000,746900,461,52300,0.2498940625,2025-11-15 00:48:20,2
#fashion,Stecu Stecu,5100000,1200000,623,36400,0.2425535294117647,2025-11-12 04:46:11,2
#skincare,"all sparkles, like magic!",3300000,785800,1615,10500,0.24179242424242425,2025-07-09 02:05:22,2
#y2kfashion,Tor Monitor Ketua,740400,172200,266,4340,0.2387979470556456,2025-11-05 00:10:20,2
#indonesia,APT,349,56,27,0,0.23782234957020057,2025-11-24 11:14:37,2
#umkm,Ticker bed,51565,9555,1040,957,0.235819,2025-02-05 04:00:00,2
#fashion,fashion,2700000,616600,776,17100,0.23499111111111112,2025-10-16 21:42:59,2
#outfit,DJ Jangan Tunggu Lama,14100,3071,27,112,0.2276595744680851,2025-11-23 09:20:55,2
#fashion,Garam & Madu,771000,169600,163,4699,0.22628015564202333,2025-11-11 00:39:06,2
#foodie,Drumline,164798,29232,2829,3350,0.22618,2025-03-30 16:00:00,2
#fyp,Magnetic,303,54,13,1,0.22442244224422442,2025-11-24 08:50:08,2
#fashion,Tor Monitor Ketua,1300000,278600,693,10700,0.22307153846153846,2025-10-02 19:55:56,2
#fyp,yah mean,539800,115500,130,4721,0.2229547980733605,2025-10-20 01:21:16,2
#fashionlover,st tropez lana del rey,275300,59500,79,1640,0.2223719578641482,2025-08-24 01:31:19,2
#fashion,i know u know,239000,48200,134,3559,0.2171255230125523,2025-10-20 14:55:55,2
#fyp,Penjaga Hati,70134,11493,951,1192,0.214675,2025-06-06 21:00:00,2
#foodie,DJ Dora Dora,39954,6600,731,808,0.214422,2025-03-09 15:00:00,2
#fyp,Sizzle ASMR,76950,12956,1776,880,0.213554,2025-01-31 20:00:00,2
#esports,Ngga Dulu,9231,1553,174,146,0.21352,2025-08-09 07:00:00,2
#pets,City stroll,41927,6709,915,626,0.213037,2025-04-20 17:00:00,2
#kuliner,About You,97140,15406,1126,1125,0.212333,2025-05-03 08:00:00,2
#umkm,Tor Monitor Ketua,364500,75400,75,1762,0.21189849108367628,2025-10-15 21:01:36,2
#umkmindonesia,Bintang 5,617831,93504,8944,9633,0.211835,2025-08-10 20:00:00,2
#makeup,Cardio loop,83569,13832,1304,1620,0.211047,2025-05-02 02:00:00,2
#umkm,Aesthetic synth,104718,17030,2004,1925,0.21068,2025-03-22 21:00:00,2
#fyp,Turbo whoosh,36304,5819,814,599,0.209674,2025-08-10 20:00:00,2
#viral,Runway loop,28249,4837,381,345,0.207264,2025-03-24 15:00:00,2
#tech,City stroll,7491,1239,87,148,0.207048,2025-05-21 19:00:00,2
#fyp,Stadium chant,46107,7352,544,688,0.206108,2025-05-14 22:00:00,2
#diskon,About You,74946,11748,901,1134,0.206042,2025-05-27 18:00:00,2
#fashion,Circuit synth,76351,11547,1310,1009,0.203848,2025-06-22 12:00:00,2
#viral,Clap beat,176687,27608,3302,2791,0.200773,2025-05-25 21:00:00,2
#foodie,Ambient glow,133020,19558,2429,1551,0.200256,2025-05-30 05:00:00,2
#ootd,Waves & bells,71283,10348,1365,1421,0.200118,2025-07-20 15:00:00,2
#makananviral,mobile legends indonesia,2500000,467100,20300,12000,0.19976,2024-06-26 20:18:49,2
#pakaian,Turbo whoosh,438734,68923,4982,6620,0.199326,2025-01-10 14:00:00,2
#fashion,"all that she wants (12"" version)",722500,138400,162,5254,0.19905328719723184,2025-10-01 23:30:01,2
#foodie,Cosmic pad,71110,10411,1683,1263,0.198875,2025-03-14 16:00:00,2
#fyp,Aesthetic synth,82637,12080,966,1130,0.198458,2025-06-20 22:00:00,2
#viral,Soft focus,430482,67861,6144,7053,0.198206,2025-07-15 23:00:00,2
#viral,Sizzle ASMR,27151,4118,495,388,0.196567,2025-03-03 15:00:00,2
#promo,Adrenaline synth,169947,26798,2124,2548,0.196508,2025-02-22 21:00:00,2
#umkm,漕ぎ手,5672,1113,0,1,0.1964033850493653,2025-11-23 16:15:36,2
#makeup,Sizzle ASMR,432174,64891,8040,7499,0.1959,2025-03-09 17:00:00,2
#fyp,8bit loop,8110,1114,102,107,0.195808,2025-04-29 23:00:00,2
#planetunya,Tor Monitor Ketua,1900000,357400,1543,12200,0.19533842105263158,2025-08-03 04:38:20,2
#umkm,Sizzle ASMR,37644,5201,669,575,0.193391,2025-04-11 20:00:00,2
#pets,Goofy bass,182935,25374,3315,2805,0.193342,2025-07-11 14:00:00,2
#fyp,Waves & bells,306184,44927,5950,3184,0.192365,2025-06-01 15:00:00,2
#motivation,Kasih Tau Mama,83559,12047,1761,1446,0.192152,2025-06-08 18:00:00,2
#fyp,Highway synth,470455,66725,4809,8494,0.191952,2025-01-14 14:00:00,2
#esports,Aesthetic synth,84858,13336,847,970,0.191944,2025-08-10 19:00:00,2
#skincare,Trap beat,99093,15086,1282,1696,0.19188,2025-04-02 20:00:00,2
#skincare,Soft glam loop,19292,2747,304,333,0.191634,2025-06-13 21:00:00,2
#louboutins,Tor Monitor Ketua,20900000,3700000,5237,283900,0.1908677990430622,2025-10-14 22:46:47,2
#ootd,take a sexy picture of me,2600000,482400,1599,11100,0.19042269230769232,2025-06-06 07:18:03,2
#outfit,Ticker tick,74275,11141,1131,1123,0.189835,2025-05-23 21:00:00,2
#fyp,Adrenaline synth,144178,22178,1750,2002,0.189772,2025-03-30 15:00:00,2
#fyp,Glitch hop,102287,14875,2249,1300,0.189594,2025-07-21 14:00:00,2
#fyp,Pica Pica,63051,9576,665,1116,0.189593,2025-08-31 16:00:00,2
#fyp,Alamak,15466,2119,215,267,0.189448,2025-07-20 22:00:00,2
#makeup,Backpack beat,9979,1398,132,113,0.189398,2025-04-25 22:00:00,2
#umkm,Lab beeps,165680,24429,2625,2721,0.189172,2025-02-02 20:00:00,2
#fyp,Circuit synth,48479,6798,469,837,0.188968,2025-08-01 19:00:00,2
#fyp,Ticker bed,63863,8472,701,976,0.188763,2025-05-02 18:00:00,2
#cattok,Sizzle ASMR,36303,5420,694,388,0.188524,2025-08-09 13:00:00,2
#cattok,Alamak,57094,8532,1078,589,0.188023,2025-01-10 20:00:00,2
